sch_ID,sch_Name,sch_PhoneNo,sch_Email,sch_Address,sch_Code,sch_Year,sch_Status
1,"SMK HAMID KHAN TAPAH PERAK",,,,1AA001,,
2,"SMK HAMID KHAN TAPAH PERAK",,,,1AA002,,
3,"SMK HAMID KHAN TAPAH PERAK (CALON PERSENDIRIAN)",,,,2AA002,,
4,"SMK BUYONG ADIL TAPAH PERAK",,,,1AA006,,
5,"SMK SRI TAPAH  TAPAH PERAK",,,,1AA011,,
6,"SMK SRI TAPAH TAPAH (CALON PERSENDIRIAN)",,,,2AA011,,
7,"SMK DATO' PANGLIMA PERANG KIRI TAPAH ROAD PERAK",,,,1AA016,,
8,"SMK AIR KUNING KAMPAR PERAK",,,,1AA021,,
9,"SMK AIR KUNING KAMPAR PERAK (CALON PERSENDIRIAN)",,,,2AA021,,
10,"SMJK CHOONG HUA BIDOR PERAK",,,,1AA031,,
11,"SMJK CHOONG HUA BIDOR PERAK",,,,1AA032,,
12,"SMK CHOONG HWA BIDOR PERAK (CALON PERSENDIRIAN)",,,,2AA032,,
13,"SMK SYEIKH ABDUL GHANI BIDOR PERAK",,,,1AA041,,
14,"SMK SYEIKH ABDUL GHANI BIDOR PERAK",,,,1AA042,,
15,"SMA DAERAH BATANG PADANG BIDOR PERAK",,,,1AA051,,
16,"SEKOLAH MENENGAH KEBANGSAAN TROLAK SUNGKAI PERAK",,,,1AA061,,
17,"SMK FELDA BESOUT PERAK",,,,1AA066,,
18,"SMK FELDA BESOUT PERAK",,,,1AA067,,
19,"SMK SUNGKAI PERAK",,,,1AA071,,
20,"SEK MEN KEB  SUNGKAI PERAK (CALON PERSENDIRIAN)",,,,2AA071,,
21,"SEKOLAH MA'AHAD ABBASIAH SUNGKAI PERAK",,,,1AA076,,
22,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KRUIT SUNGKAI PERAK",,,,1AA081,,
23,"SMK SLIM SLIM RIVER PERAK",,,,1AA091,,
24,"SEK MEN KEB SLIM SLIM RIVER PERAK (CALON PERSENDIRIAN)",,,,2AA091,,
25,"SMK DATO ZULKIFLI MUHAMMAD SLIM RIVER PERAK",,,,1AA096,,
26,"SMK DATO ZULKIFLI MUHAMMAD S RIVER (CALON PERSENDIRIAN",,,,2AA096,,
27,"SEK MEN KEB AGAMA SLIM RIVER PERAK",,,,1AA101,,
28,"SMK KHIR JOHARI TANJONG MALIM PERAK",,,,1AA126,,
29,"SMK METHODIST TANJONG MALIM PERAK",,,,1AA131,,
30,"SEK MEN KEB KATHOLIK TANJUNG MALIM PERAK",,,,1AA136,,
31,"SMK SERI MANJUNG SITIAWAN PERAK",,,,1AB001,,
32,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AB001,,
33,"SMK AHMAD BOESTAMAM SITIAWAN PERAK",,,,1AB006,,
34,"SMK AHMAD BOESTAMAM SITIAWAN PERAK",,,,1AB007,,
35,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AB007,,
36,"SMK BATU SEPULUH LEKIR SITIAWAN PERAK",,,,1AB011,,
37,"MAAHAD ISLAHIAH ADDINIAH BATU 10 LEKIR SITIAWAN PERAK",,,,2AB011,,
38,"SMK CONVENT SITIAWAN PERAK",,,,1AB016,,
39,"SMJK NAN HWA SITIAWAN PERAK",,,,1AB021,,
40,"SMJK NAN HWA SITIAWAN PERAK",,,,1AB022,,
41,"SMJK NAN HWA SITIAWAN PERAK",,,,1AB023,,
42,"SEKOLAH MENENGAH METHODIST ACS SITIAWAN PERAK",,,,1AB026,,
43,"SEKOLAH MENENGAH METHODIST ACS SITIAWAN PERAK",,,,1AB027,,
44,"SEK MEN KEB TOK PERDANA SITIAWAN PERAK",,,,1AB031,,
45,"SEK MEN KEB TOK PERDANA SITIAWAN PERAK",,,,1AB032,,
46,"SMK PANGKALAN TLDM LUMUT PERAK",,,,1AB061,,
47,"SEK MEN KEB PENGKALAN TLDM LUMUT (CALON PERSENDIRIAN)",,,,2AB061,,
48,"SMK DINDINGS LUMUT PERAK",,,,1AB066,,
49,"SMK DINDING LUMUT (CALON PERSENDIRIAN)",,,,2AB066,,
